S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
92,5542254,HN353618,1/20/07 3:40 AM,056XX W THOMAS ST,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,1511,15,29,25,6,1138716,1906775,2007,04/15/2016 08:55:02 AM,41.90031366,-87.76593813,"(41.900313655, -87.765938129)",Yes
93,5542256,HN353836,3/20/07 7:30 AM,0000X E ONTARIO ST,2825,BATTERY,HARASSMENT BY TELEPHONE,Low,RESTAURANT,FALSE,TRUE,1834,18,42,8,26,1176350,1904490,2007,04/15/2016 08:55:02 AM,41.89327729,-87.62777646,"(41.893277294, -87.627776464)",No
94,5542257,HN352260,1/19/07 1:00 PM,049XX N KENMORE AVE,560,ASSAULT,SIMPLE,Low,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2024,20,46,3,08A,1168357,1933163,2007,04/15/2016 08:55:02 AM,41.97213402,-87.65630006,"(41.972134016, -87.65630006)",No
95,5542258,HM769761,12/12/06 12:19 PM,047XX S LAKE PARK AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,CTA BUS,FALSE,FALSE,2132,2,4,39,04B,1186364,1873970,2006,04/15/2016 08:55:02 AM,41.80929706,-87.59196703,"(41.809297059, -87.591967028)",Yes
96,5542259,HN327255,1/17/07 9:15 AM,063XX S MAY ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,FALSE,724,7,16,68,08B,1169740,1862706,2007,04/15/2016 08:55:02 AM,41.77876471,-87.65326736,"(41.778764706, -87.653267359)",No
97,5542261,HN336069,1/11/07 1:10 PM,056XX S ASHLAND AVE,560,ASSAULT,SIMPLE,Low,STREET,FALSE,FALSE,713,7,16,67,08A,1166632,1867414,2007,04/15/2016 08:55:02 AM,41.79175093,-87.66452728,"(41.791750926, -87.664527276)",No
98,5542262,HN352394,1/19/07 2:20 PM,059XX N RAVENSWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,OTHER,FALSE,FALSE,2012,20,40,77,14,1163315,1939356,2007,04/15/2016 08:55:02 AM,41.98923567,-87.67466515,"(41.989235673, -87.674665146)",Yes
99,5542264,HN353248,1/20/07 12:00 AM,058XX W OHIO ST,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,High,APARTMENT,FALSE,TRUE,1512,15,29,25,04B,1137430,1903388,2007,04/15/2016 08:55:02 AM,41.89104254,-87.77074331,"(41.891042543, -87.770743309)",Yes
100,5542265,HN353913,1/19/07 8:30 PM,095XX S PERRY AVE,820,THEFT,$500 AND UNDER,Low,STREET,FALSE,FALSE,511,5,21,49,6,1177292,1841613,2007,04/15/2016 08:55:02 AM,41.72071578,-87.6262168,"(41.720715783, -87.626216802)",No
101,5542267,HN341905,1/14/07 2:36 PM,067XX S HALSTED ST,320,THEFT,STRONGARM - NO WEAPON,Medium,STREET,FALSE,FALSE,723,7,6,68,3,1172133,1860111,2007,04/15/2016 08:55:02 AM,41.77159145,-87.64457065,"(41.771591454, -87.644570652)",No
102,5542269,HN352932,1/19/07 8:00 PM,045XX S GREENWOOD AVE,460,BATTERY,SIMPLE,Low,PARK PROPERTY,FALSE,FALSE,2123,2,4,39,08B,1184349,1875060,2007,04/15/2016 08:55:02 AM,41.81233556,-87.59932344,"(41.81233556, -87.599323435)",No
103,5542271,HN353827,1/18/07 10:00 AM,056XX N WASHTENAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,ABANDONED BUILDING,FALSE,FALSE,2011,20,40,2,14,1157290,1937594,2007,04/15/2016 08:55:02 AM,41.98452568,-87.69687417,"(41.984525681, -87.696874171)",Yes
104,5542275,HN241146,3/22/07 3:00 PM,040XX W LAKE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),High,CTA PLATFORM,TRUE,FALSE,1114,11,28,26,18,1149512,1901446,2007,04/15/2016 08:55:02 AM,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",Yes
105,5542276,HN352472,1/19/07 1:00 AM,008XX W ALTGELD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,1933,19,43,7,14,1170188,1916822,2007,04/15/2016 08:55:02 AM,41.92725381,-87.65004627,"(41.927253807, -87.650046265)",Yes
106,5542279,HN342805,1/14/07 9:50 PM,056XX S SHIELDS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,711,7,3,68,18,1174928,1867655,2007,04/15/2016 08:55:02 AM,41.79223113,-87.63410028,"(41.792231127, -87.63410028)",Yes
107,5542280,HN353182,1/19/07 11:00 PM,049XX W MAYPOLE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,TRUE,TRUE,1532,15,28,25,08B,1143243,1901005,2007,04/15/2016 08:55:02 AM,41.88439674,-87.74945428,"(41.884396735, -87.749454281)",No
108,5542282,HN353361,1/20/07 1:23 AM,024XX N HARDING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,2524,25,30,22,18,1149640,1915961,2007,04/15/2016 08:55:02 AM,41.92531565,-87.72557436,"(41.925315648, -87.725574356)",Yes
109,5542283,HN350197,1/18/07 1:30 PM,075XX N CLARK ST,860,THEFT,RETAIL THEFT,High,DEPARTMENT STORE,TRUE,FALSE,2422,24,49,1,6,1162907,1949949,2007,04/15/2016 08:55:02 AM,42.01831174,-87.67586663,"(42.018311737, -87.675866628)",Yes
110,5542284,HN349949,1/18/07 11:56 AM,056XX W WASHINGTON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1513,15,29,25,18,1138461,1900176,2007,04/15/2016 08:55:02 AM,41.88220979,-87.76703474,"(41.882209791, -87.76703474)",Yes
111,5542286,HN353390,1/20/07 1:49 AM,005XX N LAVERGNE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,1532,15,28,25,08B,1142938,1903037,2007,04/15/2016 08:55:02 AM,41.88997848,-87.75052362,"(41.889978476, -87.750523615)",No
112,5542287,HN304206,4/24/07 11:18 AM,039XX W WASHINGTON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),High,GAS STATION,TRUE,FALSE,1122,11,28,26,18,1150028,1900125,2007,04/15/2016 08:55:02 AM,41.88185254,-87.72456159,"(41.881852537, -87.724561592)",Yes
113,5542289,HN353937,3/7/07 9:00 AM,019XX N KEDZIE AVE,2825,BATTERY,HARASSMENT BY TELEPHONE,Low,RESIDENCE,TRUE,TRUE,1421,14,35,22,26,1154738,1912653,2007,04/15/2016 08:55:02 AM,41.91613754,-87.70693058,"(41.916137544, -87.706930577)",No
114,5542290,HN350279,1/18/07 2:46 PM,001XX S LOTUS AVE,2027,NARCOTICS,POSS: CRACK,High,STREET,TRUE,FALSE,1522,15,29,25,18,1139900,1899006,2007,04/15/2016 08:55:02 AM,41.87897298,-87.76177926,"(41.878972982, -87.761779262)",Yes
115,5542292,HN353659,1/20/07 6:00 AM,001XX S PARKSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1513,15,29,25,14,1138636,1898830,2007,04/15/2016 08:55:02 AM,41.87851302,-87.76642478,"(41.87851302, -87.766424778)",Yes
116,5542293,HN351607,1/19/07 3:09 AM,049XX W MONTANA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,2521,25,31,19,18,1143144,1915855,2007,04/15/2016 08:55:02 AM,41.92514864,-87.74944665,"(41.925148636, -87.749446651)",Yes
117,5542294,HN309800,4/28/07 8:40 AM,007XX N CHRISTIANA AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,Low,SIDEWALK,TRUE,FALSE,1121,11,27,23,18,1153913,1904633,2007,04/15/2016 08:55:02 AM,41.89414643,-87.71017565,"(41.894146429, -87.710175647)",No
118,5542295,HN353330,1/20/07 1:15 AM,056XX W LAKE ST,820,THEFT,$500 AND UNDER,Low,APARTMENT,FALSE,FALSE,1512,15,29,25,6,1138389,1902211,2007,04/15/2016 08:55:02 AM,41.8877954,-87.76724984,"(41.887795397, -87.767249835)",No
119,5542296,HN353867,1/19/07 12:20 AM,060XX S INDIANA AVE,2820,BATTERY,TELEPHONE THREAT,Low,APARTMENT,FALSE,FALSE,311,3,20,40,26,1178630,1865109,2007,04/15/2016 08:55:02 AM,41.78516123,-87.62060312,"(41.785161229, -87.620603115)",No
120,5542297,HN304525,4/24/07 2:20 PM,032XX W WALNUT ST,2027,NARCOTICS,POSS: CRACK,High,ABANDONED BUILDING,TRUE,FALSE,1123,11,28,27,18,1154820,1901448,2007,04/15/2016 08:55:02 AM,41.88538836,-87.7069299,"(41.885388355, -87.706929899)",Yes
121,5542298,HN351309,1/18/07 11:04 PM,049XX W HURON ST,2027,NARCOTICS,POSS: CRACK,High,STREET,TRUE,FALSE,1532,15,37,25,18,1143214,1904187,2007,04/15/2016 08:55:02 AM,41.89312906,-87.74948127,"(41.893129063, -87.74948127)",Yes
122,5542299,HN353310,1/20/07 12:43 AM,031XX N CICERO AVE,2027,NARCOTICS,POSS: CRACK,High,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,2521,25,31,19,18,1143813,1920658,2007,04/15/2016 08:55:02 AM,41.93831601,-87.74686769,"(41.938316007, -87.746867685)",Yes
123,5542301,HN302663,4/24/07 2:50 PM,006XX S CENTRAL PARK AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1133,11,24,27,18,1152479,1897000,2007,04/15/2016 08:55:02 AM,41.87322914,-87.71564409,"(41.87322914, -87.715644089)",Yes
124,5542302,HN353293,1/20/07 12:55 AM,051XX W OHIO ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,FALSE,1532,15,28,25,08B,1141829,1903517,2007,04/15/2016 08:55:02 AM,41.89131625,-87.75458452,"(41.891316252, -87.754584523)",No
125,5542303,HN345602,1/16/07 10:19 AM,059XX W RACE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1512,15,29,25,18,1136862,1903018,2007,04/15/2016 08:55:02 AM,41.89003742,-87.7728382,"(41.890037416, -87.772838203)",Yes
126,5542304,HN302680,4/24/07 3:21 PM,010XX N HARDING AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,1112,11,27,23,26,1149868,1906572,2007,04/15/2016 08:55:02 AM,41.8995469,-87.72498127,"(41.8995469, -87.724981272)",Yes
127,5542306,HN353965,1/20/07 3:00 AM,021XX W FARWELL AVE,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,2411,24,50,2,6,1160588,1945576,2007,04/15/2016 08:55:02 AM,42.00636067,-87.6845221,"(42.006360672, -87.684522097)",Yes
128,5542307,HN346167,1/16/07 2:43 PM,004XX N LAVERGNE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1532,15,28,25,18,1142962,1902338,2007,04/15/2016 08:55:02 AM,41.88805989,-87.75045291,"(41.88805989, -87.750452913)",Yes
129,5542308,HN351670,1/19/07 5:23 AM,048XX W ARMITAGE AVE,2027,NARCOTICS,POSS: CRACK,High,STREET,TRUE,FALSE,2522,25,31,19,18,1143126,1912844,2007,04/15/2016 08:55:02 AM,41.91688648,-87.74958811,"(41.916886476, -87.749588106)",Yes
130,5542310,HN346098,1/15/07 9:56 AM,065XX S DAMEN AVE,560,ASSAULT,SIMPLE,Low,STREET,FALSE,FALSE,726,7,15,67,08A,1164151,1861362,2007,04/15/2016 08:55:02 AM,41.77519606,-87.67379489,"(41.775196055, -87.673794889)",No
131,5542311,HN304517,4/24/07 1:50 PM,029XX W WILCOX ST,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1124,11,2,27,18,1156843,1899214,2007,04/15/2016 08:55:02 AM,41.87921728,-87.69956163,"(41.879217282, -87.699561628)",Yes
132,5542313,HN345068,1/15/07 10:43 PM,008XX N LECLAIRE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,RESIDENCE,TRUE,FALSE,1531,15,37,25,18,1142204,1905072,2007,04/15/2016 08:55:02 AM,41.89557641,-87.75316869,"(41.895576407, -87.753168693)",Yes
133,5542314,HN353789,1/19/07 9:00 PM,002XX N MAYFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,1512,15,29,25,14,1137121,1901012,2007,04/15/2016 08:55:02 AM,41.88452804,-87.77193522,"(41.884528044, -87.77193522)",Yes
134,5542315,HN346264,1/14/07 9:00 PM,016XX W 62ND ST,890,THEFT,FROM BUILDING,Medium,OTHER,FALSE,FALSE,714,7,15,67,6,1166269,1863592,2007,04/15/2016 08:55:02 AM,41.78127063,-87.66596711,"(41.781270625, -87.665967112)",No
135,5542316,HN353975,1/18/07 11:30 PM,003XX W ILLINOIS ST,2830,BATTERY,OBSCENE TELEPHONE CALLS,Low,RESIDENCE,FALSE,TRUE,1831,18,42,8,17,1173574,1903540,2007,04/15/2016 08:55:02 AM,41.89073263,-87.63799987,"(41.890732628, -87.637999874)",No
136,5542317,HN311954,4/29/07 10:50 AM,035XX W HURON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1121,11,27,23,18,1152839,1904444,2007,04/15/2016 08:55:02 AM,41.89364913,-87.71412514,"(41.893649131, -87.714125144)",Yes
137,5542318,HN353984,1/20/07 9:00 AM,063XX W BARRY AVE,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,2511,25,36,19,6,1133642,1919934,2007,04/15/2016 08:55:02 AM,41.93651412,-87.784266,"(41.936514122, -87.784266003)",Yes
138,5542320,HN339021,1/12/07 10:30 PM,0000X W 110TH PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,513,5,34,49,18,1177964,1831695,2007,04/15/2016 08:55:02 AM,41.69348425,-87.62405465,"(41.693484249, -87.624054648)",Yes
139,5542324,HN352510,1/19/07 3:59 PM,073XX N GREENVIEW AVE,2027,NARCOTICS,POSS: CRACK,High,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,2423,24,49,1,18,1165022,1948876,2007,04/15/2016 08:55:02 AM,42.01532257,-87.66811451,"(42.015322565, -87.668114512)",Yes
140,5542325,HN350617,1/18/07 5:05 PM,003XX E 109TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,513,5,9,49,18,1180407,1832761,2007,04/15/2016 08:55:02 AM,41.69635395,-87.6150778,"(41.69635395, -87.615077795)",Yes
141,5542327,HN353741,1/19/07 5:00 PM,051XX S TALMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESIDENCE-GARAGE,FALSE,FALSE,911,9,14,63,14,1159575,1870495,2007,04/15/2016 08:55:02 AM,41.80035334,-87.69031962,"(41.800353336, -87.690319622)",Yes
142,5542328,HN299102,4/22/07 7:00 PM,039XX W WASHINGTON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),High,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1122,11,28,26,18,1150021,1900125,2007,04/15/2016 08:55:02 AM,41.88185267,-87.7245873,"(41.881852674, -87.724587296)",Yes
143,5542329,HN353941,1/14/07 7:00 AM,040XX W MELROSE ST,2825,BATTERY,HARASSMENT BY TELEPHONE,Low,RESIDENCE,FALSE,TRUE,1731,17,31,16,26,1148922,1921305,2007,04/15/2016 08:55:02 AM,41.93999399,-87.72807402,"(41.939993985, -87.728074024)",No
144,5542330,HN353939,1/19/07 10:30 PM,024XX W FILLMORE ST,820,THEFT,$500 AND UNDER,Low,STREET,FALSE,FALSE,1135,11,28,28,6,1160200,1895304,2007,04/15/2016 08:55:02 AM,41.86841919,-87.68734333,"(41.868419187, -87.687343325)",No
145,5542331,HN349896,1/17/07 8:00 AM,010XX W FULLERTON AVE,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,1933,19,43,7,6,1168759,1916116,2007,04/15/2016 08:55:02 AM,41.92534764,-87.65531773,"(41.925347635, -87.655317727)",Yes
146,5542334,HN353931,1/20/07 4:35 AM,070XX S BISHOP ST,2825,BATTERY,HARASSMENT BY TELEPHONE,Low,RESIDENCE,FALSE,TRUE,734,7,17,67,26,1167881,1858167,2007,04/15/2016 08:55:02 AM,41.76634925,-87.66021283,"(41.766349253, -87.660212833)",No
147,5542335,HN354011,3/10/07 8:00 PM,009XX W BELLE PLAINE AVE,890,THEFT,FROM BUILDING,Medium,APARTMENT,FALSE,FALSE,2322,19,46,3,6,1169256,1927522,2007,04/15/2016 08:55:02 AM,41.95663539,-87.65315897,"(41.956635391, -87.653158974)",No
148,5542336,HN354008,1/20/07 5:00 AM,035XX N LOCKWOOD AVE,5002,BATTERY,OTHER VEHICLE OFFENSE,Low,STREET,FALSE,TRUE,1634,16,38,15,26,1140408,1922868,2007,04/15/2016 08:55:02 AM,41.9444437,-87.75932759,"(41.944443703, -87.759327587)",No
149,5542339,HN346782,1/16/07 6:20 PM,063XX S DAMEN AVE,2027,NARCOTICS,POSS: CRACK,High,SIDEWALK,TRUE,FALSE,726,7,15,67,18,1164114,1862653,2007,04/15/2016 08:55:02 AM,41.77873951,-87.67389424,"(41.77873951, -87.673894236)",Yes
150,5542340,HN353949,1/20/07 11:20 AM,076XX S COLES AVE,560,ASSAULT,SIMPLE,Low,APARTMENT,TRUE,TRUE,421,4,7,43,08A,1196270,1855214,2007,04/15/2016 08:55:02 AM,41.75758925,-87.55625608,"(41.757589249, -87.556256082)",No
151,5542342,HN354036,1/19/07 10:00 PM,022XX N DAYTON ST,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,1812,18,43,7,6,1170250,1915047,2007,04/15/2016 08:55:02 AM,41.92238177,-87.64987043,"(41.922381765, -87.649870429)",Yes
152,5542343,HN347774,1/15/07 12:01 AM,073XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,High,STREET,FALSE,FALSE,733,7,17,68,14,1171246,1856121,2007,04/15/2016 08:55:02 AM,41.76066185,-87.64793864,"(41.760661848, -87.647938638)",Yes
153,5542344,HN305113,4/24/07 6:48 PM,043XX W GLADYS AVE,2027,NARCOTICS,POSS: CRACK,High,STREET,TRUE,FALSE,1131,11,28,26,18,1147526,1898002,2007,04/15/2016 08:55:02 AM,41.87607512,-87.73380343,"(41.876075115, -87.73380343)",Yes
154,5542346,HN354044,1/18/07 4:00 PM,026XX N ASHLAND AVE,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,1931,19,32,7,6,1165212,1917684,2007,04/15/2016 08:55:02 AM,41.92972654,-87.66830635,"(41.92972654, -87.668306353)",Yes
155,5542347,HN301434,4/23/07 8:00 PM,036XX W GRENSHAW ST,2027,NARCOTICS,POSS: CRACK,High,SIDEWALK,TRUE,FALSE,1133,11,24,29,18,1152372,1894799,2007,04/15/2016 08:55:02 AM,41.86719146,-87.71609505,"(41.867191464, -87.716095047)",Yes
156,5542348,HN349004,1/15/07 12:01 AM,017XX W 59TH ST,2820,BATTERY,TELEPHONE THREAT,Low,RESIDENCE,FALSE,FALSE,714,7,15,67,26,1165565,1865564,2007,04/15/2016 08:55:02 AM,41.78669701,-87.66849223,"(41.786697007, -87.668492233)",No
157,5542350,HN352343,1/19/07 1:59 PM,131XX S BALTIMORE AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,High,RESIDENCE,FALSE,FALSE,433,4,10,55,04B,1199094,1818450,2007,04/15/2016 08:55:02 AM,41.65663508,-87.54713683,"(41.656635079, -87.547136833)",Yes
158,5542351,HN301639,4/23/07 11:15 PM,009XX N HAMLIN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1112,11,27,23,18,1150882,1905972,2007,04/15/2016 08:55:02 AM,41.89788065,-87.72127255,"(41.897880649, -87.72127255)",Yes
159,5542352,HN301623,4/23/07 10:50 PM,029XX W HARRISON ST,2027,NARCOTICS,POSS: CRACK,High,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1135,11,2,27,18,1156937,1897228,2007,04/15/2016 08:55:02 AM,41.8737656,-87.69927035,"(41.873765595, -87.699270346)",Yes
160,5542353,HN347857,1/17/07 11:55 AM,016XX W 59TH ST,860,THEFT,RETAIL THEFT,High,SMALL RETAIL STORE,TRUE,FALSE,714,7,15,67,6,1166473,1865585,2007,04/15/2016 08:55:02 AM,41.78673532,-87.66516242,"(41.786735319, -87.665162422)",Yes
161,5542354,HN301260,4/23/07 7:15 PM,033XX W MONROE ST,2027,NARCOTICS,POSS: CRACK,High,SIDEWALK,TRUE,FALSE,1124,11,28,27,18,1154129,1899337,2007,04/15/2016 08:55:02 AM,41.87960937,-87.70952374,"(41.87960937, -87.709523739)",Yes
162,5542355,HN296621,4/21/07 1:50 PM,038XX W ROOSEVELT RD,2024,NARCOTICS,POSS: HEROIN(WHITE),High,STREET,TRUE,FALSE,1133,11,24,29,18,1150745,1894431,2007,04/15/2016 08:55:02 AM,41.86621358,-87.72207766,"(41.866213576, -87.722077658)",Yes
163,5542356,HN347872,1/17/07 12:08 PM,001XX W 69TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,VEHICLE NON-COMMERCIAL,TRUE,TRUE,722,7,6,69,08B,1176458,1859235,2007,04/15/2016 08:55:02 AM,41.76909147,-87.62874303,"(41.769091473, -87.628743028)",No
164,5542357,HN307063,4/26/07 7:00 PM,003XX S PULASKI RD,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,Medium,SIDEWALK,TRUE,FALSE,1132,11,24,26,18,1149786,1897958,2007,04/15/2016 08:55:02 AM,41.87591076,-87.72550657,"(41.875910755, -87.725506573)",Yes
165,5542358,HN330008,1/8/07 1:30 PM,079XX S ELLIS AVE,560,ASSAULT,SIMPLE,Low,SIDEWALK,TRUE,FALSE,624,6,8,44,08A,1184270,1852569,2007,04/15/2016 08:55:02 AM,41.75062013,-87.60031645,"(41.750620131, -87.600316454)",No
166,5542359,HN347955,1/17/07 12:20 PM,069XX S SANGAMON ST,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,Low,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,733,7,17,68,08B,1171175,1858746,2007,04/15/2016 08:55:02 AM,41.76786673,-87.64812222,"(41.767866727, -87.648122217)",No
167,5542362,HN307039,4/26/07 6:40 PM,027XX W JACKSON BLVD,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,1125,11,2,27,26,1158090,1898578,2007,04/15/2016 08:55:02 AM,41.87744668,-87.69500021,"(41.877446676, -87.695000212)",Yes
168,5542364,HN347902,1/17/07 10:35 AM,006XX W 63RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,High,DRUG STORE,FALSE,FALSE,711,7,16,68,14,1172906,1863108,2007,04/15/2016 08:55:02 AM,41.77979855,-87.64164874,"(41.779798546, -87.641648739)",Yes
169,5542365,HN354048,1/18/07 7:00 PM,047XX N KENTON AVE,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,1722,17,45,16,6,1144848,1931075,2007,04/15/2016 08:55:02 AM,41.96688165,-87.74279999,"(41.966881649, -87.742799987)",Yes
170,5542366,HN354081,1/18/07 11:00 AM,070XX S CRANDON AVE,2820,BATTERY,TELEPHONE THREAT,Low,RESIDENCE,FALSE,FALSE,331,3,5,43,26,1192538,1858860,2007,04/15/2016 08:55:02 AM,41.76768585,-87.5698145,"(41.767685849, -87.5698145)",No
171,5542368,HN310932,4/28/07 7:55 PM,041XX W MADISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1115,11,28,26,18,1148690,1899688,2007,04/15/2016 08:55:02 AM,41.8806793,-87.72948604,"(41.8806793, -87.729486036)",Yes
172,5542369,HN350138,1/2/07 12:00 PM,002XX E HURON ST,870,THEFT,POCKET-PICKING,Low,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,1834,18,42,8,6,1177877,1905128,2007,04/15/2016 08:55:02 AM,41.8949934,-87.622149,"(41.894993403, -87.622148996)",No
173,5542371,HN343961,1/15/07 1:20 PM,079XX S INGLESIDE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,624,6,8,44,18,1183940,1852528,2007,04/15/2016 08:55:02 AM,41.75051533,-87.60152699,"(41.750515331, -87.601526994)",Yes
174,5542372,HN310962,4/28/07 7:45 PM,002XX N KILDARE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1114,11,28,26,18,1147688,1900937,2007,04/15/2016 08:55:02 AM,41.88412599,-87.73313325,"(41.884125985, -87.733133253)",Yes
175,5542373,HN354015,1/20/07 12:15 PM,016XX N WASHTENAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1421,14,1,24,18,1158119,1910805,2007,04/15/2016 08:55:02 AM,41.91099805,-87.6945595,"(41.910998051, -87.694559496)",Yes
176,5542374,HN308310,4/27/07 12:35 PM,009XX N ST LOUIS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1121,11,27,23,18,1152871,1906099,2007,04/15/2016 08:55:02 AM,41.89818998,-87.71396374,"(41.898189979, -87.713963739)",Yes
177,5542376,HN300245,4/23/07 11:20 AM,032XX W HURON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1121,11,27,23,18,1154431,1904476,2007,04/15/2016 08:55:02 AM,41.89370527,-87.70827739,"(41.893705266, -87.708277387)",Yes
178,5542377,HN345109,1/15/07 10:50 PM,079XX S MARYLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,624,6,8,44,18,1183278,1852588,2007,04/15/2016 08:55:02 AM,41.7506954,-87.60395098,"(41.750695403, -87.603950979)",Yes
179,5542378,HN346255,1/16/07 3:40 PM,092XX S ST LAWRENCE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,633,6,6,44,18,1181852,1844022,2007,04/15/2016 08:55:02 AM,41.72722238,-87.60944051,"(41.727222377, -87.609440506)",Yes
180,5542379,HN300325,4/23/07 12:20 PM,0000X S WHIPPLE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),High,STREET,TRUE,FALSE,1124,11,28,27,18,1156165,1899715,2007,04/15/2016 08:55:02 AM,41.88060579,-87.70203761,"(41.880605787, -87.702037606)",Yes
181,5542382,HN352275,1/14/07 11:00 AM,023XX N PULASKI RD,820,THEFT,$500 AND UNDER,Low,GAS STATION,FALSE,FALSE,2525,25,30,22,6,1149325,1915347,2007,04/15/2016 08:55:02 AM,41.9236369,-87.72674778,"(41.923636898, -87.726747784)",No
182,5542384,HN306484,4/26/07 2:15 PM,034XX W CARROLL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1123,11,28,27,18,1153337,1902186,2007,04/15/2016 08:55:02 AM,41.88744308,-87.71235617,"(41.887443078, -87.712356166)",Yes
